Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.98646e+00,4.64,4.56,-0.84,-0.92
-1.98643e+00,4.64,4.8,-0.84,-0.76
-1.98640e+00,4.64,4.56,-0.84,-0.92
-1.98637e+00,4.64,4.8,-0.84,-0.68
-1.98634e+00,4.64,4.56,-0.84,-0.92
-1.98630e+00,4.56,4.8,-0.84,-0.76
-1.98627e+00,4.64,4.56,-0.76,-0.92
-1.98624e+00,4.64,4.88,-0.84,-0.68
-1.98621e+00,4.64,4.56,-0.84,-0.92
-1.98618e+00,4.64,4.8,-0.76,-0.68
-1.98614e+00,4.64,4.56,-0.84,-0.92
-1.98611e+00,4.64,4.8,-0.84,-0.76
-1.98608e+00,4.64,4.56,-0.84,-0.92
-1.98605e+00,4.64,4.8,-0.76,-0.68
-1.98602e+00,4.64,4.56,-0.84,-0.92
-1.98598e+00,4.64,4.8,-0.84,-0.68
-1.98595e+00,4.64,4.56,-0.84,-0.92
-1.98592e+00,4.64,4.8,-0.84,-0.68
-1.98589e+00,4.64,4.56,-0.84,-0.92
-1.98586e+00,4.64,4.8,-0.84,-0.68
-1.98582e+00,4.64,4.56,-0.76,-0.92
-1.98579e+00,4.64,4.8,-0.84,-0.76
-1.98576e+00,4.64,4.56,-0.84,-0.92
-1.98573e+00,4.64,4.8,-0.84,-0.68
-1.98570e+00,4.64,4.56,-0.84,-0.92
-1.98566e+00,4.64,4.8,-0.84,-0.68
-1.98563e+00,4.64,4.56,-0.84,-0.92
-1.98560e+00,4.64,4.8,-0.84,-0.76
-1.98557e+00,4.64,4.56,-0.92,-0.92
-1.98554e+00,4.64,4.8,-0.76,-0.68
-1.98550e+00,4.64,4.56,-0.84,-0.92
-1.98547e+00,4.64,4.8,-0.84,-0.68
-1.98544e+00,4.64,4.56,-0.84,-0.92
-1.98541e+00,4.72,4.72,-0.84,-0.68
-1.98538e+00,4.64,4.56,-0.84,-0.92
-1.98534e+00,4.64,4.8,-0.84,-0.68
-1.98531e+00,4.64,4.56,-0.84,-0.92
-1.98528e+00,4.64,4.8,-0.84,-0.76
-1.98525e+00,4.56,4.56,-0.84,-0.92
-1.98522e+00,4.64,4.8,-0.84,-0.68
-1.98518e+00,4.64,4.56,-0.84,-0.92
-1.98515e+00,4.64,4.72,-0.84,-0.68
-1.98512e+00,4.64,4.56,-0.84,-0.92
-1.98509e+00,4.64,4.72,-0.84,-0.68
-1.98506e+00,4.64,4.56,-0.84,-0.92
-1.98502e+00,4.64,4.8,-0.84,-0.68
-1.98499e+00,4.64,4.56,-0.84,-0.92
-1.98496e+00,4.64,4.8,-0.84,-0.68
-1.98493e+00,4.64,4.56,-0.84,-0.92
-1.98490e+00,4.64,4.8,-0.84,-0.68
-1.98486e+00,4.64,4.56,-0.84,-0.92
-1.98483e+00,4.64,4.8,-0.84,-0.68
-1.98480e+00,4.64,4.56,-0.84,-0.92
-1.98477e+00,4.64,4.8,-0.84,-0.68
-1.98474e+00,4.56,4.56,-0.84,-0.92
-1.98470e+00,4.64,4.8,-0.84,-0.68
-1.98467e+00,4.64,4.56,-0.84,-0.92
-1.98464e+00,4.64,4.72,-0.84,-0.76
-1.98461e+00,4.64,4.56,-0.84,-0.92
-1.98458e+00,4.64,4.8,-0.84,-0.68
-1.98454e+00,4.64,4.56,-0.84,-0.92
-1.98451e+00,4.64,4.8,-0.84,-0.76
