Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
9.62368e-01,0.72,0.8,0.68,0.84
9.62400e-01,0.72,0.32,0.68,0.28
9.62432e-01,0.72,0.96,0.6,0.92
9.62464e-01,0.72,0.56,0.68,0.6
9.62496e-01,0.72,0.8,0.68,0.84
9.62528e-01,0.72,0.64,0.68,0.6
9.62560e-01,0.72,0.8,0.68,0.84
9.62592e-01,0.72,0.32,0.68,0.28
9.62624e-01,0.72,0.88,0.68,0.92
9.62656e-01,0.72,0.64,0.68,0.6
9.62688e-01,0.72,0.88,0.68,0.84
9.62720e-01,0.72,0.64,0.68,0.6
9.62752e-01,0.72,0.8,0.76,0.84
9.62784e-01,0.72,0.32,0.68,0.28
9.62816e-01,0.72,0.88,0.68,0.92
9.62848e-01,0.72,0.64,0.68,0.6
9.62880e-01,0.72,0.8,0.68,0.84
9.62912e-01,0.72,0.56,0.68,0.6
9.62944e-01,0.72,0.8,0.68,0.84
9.62976e-01,0.72,0.24,0.68,0.28
9.63008e-01,0.72,0.96,0.68,0.92
9.63040e-01,0.72,0.64,0.68,0.6
9.63072e-01,0.72,0.8,0.68,0.84
9.63104e-01,0.72,0.64,0.68,0.6
9.63136e-01,0.72,0.8,0.68,0.84
9.63168e-01,0.72,0.24,0.68,0.28
9.63200e-01,0.72,0.96,0.68,1
9.63232e-01,0.72,0.64,0.76,0.6
9.63264e-01,0.72,0.8,0.68,0.84
9.63296e-01,0.72,0.24,0.68,0.28
9.63328e-01,0.72,0.96,0.68,0.92
9.63360e-01,0.72,0.64,0.68,0.6
9.63392e-01,0.72,0.8,0.76,0.84
9.63424e-01,0.8,0.56,0.76,0.6
9.63456e-01,0.72,0.88,0.68,0.84
9.63488e-01,0.72,0.32,0.76,0.28
9.63520e-01,0.72,0.96,0.76,0.92
9.63552e-01,0.72,0.64,0.76,0.6
9.63584e-01,0.72,0.8,0.68,0.84
9.63616e-01,0.72,0.64,0.68,0.6
9.63648e-01,0.72,0.8,0.68,0.84
9.63680e-01,0.72,0.32,0.68,0.36
9.63712e-01,0.72,0.88,0.68,0.92
9.63744e-01,0.72,0.64,0.68,0.6
9.63776e-01,0.72,0.8,0.76,0.84
9.63808e-01,0.72,0.64,0.68,0.6
9.63840e-01,0.72,0.8,0.68,0.84
9.63872e-01,0.72,0.24,0.76,0.28
9.63904e-01,0.72,0.96,0.68,0.92
9.63936e-01,0.72,0.64,0.68,0.6
9.63968e-01,0.72,0.8,0.76,0.84
9.64000e-01,0.72,0.24,0.68,0.28
9.64032e-01,0.64,0.96,0.68,1
9.64064e-01,0.72,0.64,0.76,0.6
9.64096e-01,0.72,0.8,0.68,0.84
9.64128e-01,0.72,0.56,0.68,0.6
9.64160e-01,0.72,0.8,0.76,0.84
9.64192e-01,0.72,0.24,0.68,0.28
9.64224e-01,0.72,0.96,0.76,1
9.64256e-01,0.72,0.64,0.76,0.6
9.64288e-01,0.72,0.8,0.68,0.84
9.64320e-01,0.64,0.64,0.76,0.6
9.64352e-01,0.72,0.8,0.68,0.84
9.64384e-01,0.72,0.32,0.68,0.28
9.64416e-01,0.72,0.88,0.76,0.92
9.64448e-01,0.72,0.56,0.68,0.6
9.64480e-01,0.72,0.88,0.76,0.84
9.64512e-01,0.72,0.64,0.76,0.6
9.64544e-01,0.72,0.8,0.68,0.84
9.64576e-01,0.72,0.32,0.76,0.28
9.64608e-01,0.72,0.96,0.68,0.92
9.64640e-01,0.72,0.56,0.76,0.6
9.64672e-01,0.72,0.8,0.68,0.84
9.64704e-01,0.72,0.24,0.76,0.28
9.64736e-01,0.72,0.96,0.68,0.92
9.64768e-01,0.72,0.64,0.68,0.6
9.64800e-01,0.72,0.8,0.76,0.84
9.64832e-01,0.72,0.56,0.68,0.6
9.64864e-01,0.72,0.8,0.76,0.84
9.64896e-01,0.72,0.24,0.68,0.28
9.64928e-01,0.72,0.96,0.68,0.92
9.64960e-01,0.72,0.56,0.68,0.6
9.64992e-01,0.72,0.88,0.76,0.84
9.65024e-01,0.72,0.64,0.76,0.6
9.65056e-01,0.72,0.8,0.68,0.84
9.65088e-01,0.72,0.24,0.76,0.28
9.65120e-01,0.72,0.96,0.68,0.92
9.65152e-01,0.72,0.64,0.68,0.6
9.65184e-01,0.72,0.8,0.68,0.84
9.65216e-01,0.72,0.64,0.76,0.6
9.65248e-01,0.72,0.8,0.68,0.84
9.65280e-01,0.72,0.32,0.68,0.28
9.65312e-01,0.72,0.96,0.68,0.92
9.65344e-01,0.72,0.64,0.68,0.6
9.65376e-01,0.72,0.8,0.68,0.84
9.65408e-01,0.72,0.32,0.76,0.28
9.65440e-01,0.72,0.88,0.76,0.92
9.65472e-01,0.72,0.56,0.68,0.6
9.65504e-01,0.72,0.8,0.68,0.84
9.65536e-01,0.72,0.64,0.76,0.6
9.65568e-01,0.64,0.8,0.68,0.84
9.65600e-01,0.72,0.24,0.68,0.28
9.65632e-01,0.72,0.96,0.68,0.92
9.65664e-01,0.72,0.56,0.68,0.6
9.65696e-01,0.72,0.8,0.76,0.84
9.65728e-01,0.72,0.56,0.76,0.6
9.65760e-01,0.72,0.88,0.68,0.84
9.65792e-01,0.72,0.24,0.68,0.28
9.65824e-01,0.72,0.96,0.76,0.92
9.65856e-01,0.64,0.64,0.68,0.6
9.65888e-01,0.72,0.8,0.68,0.84
9.65920e-01,0.72,0.56,0.76,0.6
9.65952e-01,0.72,0.8,0.68,0.84
9.65984e-01,0.72,0.24,0.68,0.28
9.66016e-01,0.72,0.88,0.68,1
9.66048e-01,0.72,0.64,0.68,0.6
9.66080e-01,0.72,0.8,0.76,0.84
9.66112e-01,0.72,0.32,0.68,0.28
9.66144e-01,0.72,0.88,0.68,0.92
9.66176e-01,0.72,0.56,0.68,0.6
9.66208e-01,0.72,0.8,0.76,0.84
9.66240e-01,0.8,0.64,0.68,0.6
9.66272e-01,0.72,0.88,0.68,0.84
9.66304e-01,0.64,0.32,0.68,0.36
9.66336e-01,0.72,0.96,0.76,0.92
9.66368e-01,0.72,0.56,0.76,0.6
9.66400e-01,0.72,0.8,0.76,0.84
9.66432e-01,0.32,0.56,0.36,0.6
9.66464e-01,0.72,0.8,0.68,0.84
9.66496e-01,0.72,0.24,0.68,0.28
9.66528e-01,0.72,0.96,0.76,0.92
9.66560e-01,0.72,0.64,0.68,0.6
9.66592e-01,0.64,0.8,0.68,0.84
9.66624e-01,0.72,0.64,0.68,0.6
9.66656e-01,0.72,0.8,0.76,0.84
9.66688e-01,0.72,0.24,0.68,0.28
9.66720e-01,0.8,0.88,0.68,1
9.66752e-01,0.72,0.56,0.68,0.6
9.66784e-01,0.72,0.88,0.76,0.84
9.66816e-01,0.72,0.64,0.68,0.6
9.66848e-01,0.72,0.8,0.68,0.84
9.66880e-01,0.64,0.24,0.68,0.28
9.66912e-01,0.72,0.96,0.68,1
9.66944e-01,0.8,0.56,0.68,0.6
9.66976e-01,0.72,0.8,0.76,0.84
9.67008e-01,0.72,0.32,0.68,0.28
9.67040e-01,0.72,0.88,0.68,0.92
9.67072e-01,0.72,0.56,0.76,0.6
9.67104e-01,0.72,0.8,0.68,0.84
9.67136e-01,0.64,0.64,0.68,0.6
9.67168e-01,0.72,0.8,0.76,0.84
9.67200e-01,0.72,0.32,0.76,0.36
9.67232e-01,0.72,0.88,0.68,0.92
9.67264e-01,0.72,0.56,0.68,0.6
9.67296e-01,0.72,0.8,0.76,0.84
9.67328e-01,0.72,0.56,0.76,0.6
9.67360e-01,0.72,0.8,0.76,0.84
9.67392e-01,0.72,0.24,0.68,0.28
9.67424e-01,0.72,0.96,0.76,0.92
9.67456e-01,0.72,0.56,0.68,0.6
9.67488e-01,0.72,0.8,0.68,0.84
9.67520e-01,0.72,0.56,0.76,0.6
9.67552e-01,0.72,0.88,0.68,0.84
9.67584e-01,0.72,0.24,0.68,0.28
9.67616e-01,0.72,0.96,0.76,1
9.67648e-01,0.72,0.56,0.76,0.6
9.67680e-01,0.72,0.8,0.68,0.84
9.67712e-01,0.72,0.24,0.68,0.28
9.67744e-01,0.72,0.88,0.68,0.92
9.67776e-01,0.72,0.56,0.76,0.6
9.67808e-01,0.72,0.8,0.68,0.84
9.67840e-01,0.72,0.64,0.68,0.6
9.67872e-01,0.72,0.8,0.76,0.84
9.67904e-01,0.72,0.32,0.68,0.28
9.67936e-01,0.64,0.88,0.68,0.92
9.67968e-01,0.72,0.56,0.68,0.6
9.68000e-01,0.72,0.8,0.76,0.84
9.68032e-01,0.72,0.56,0.68,0.6
9.68064e-01,0.72,0.88,0.68,0.84
9.68096e-01,0.72,0.32,0.68,0.28
9.68128e-01,0.72,0.88,0.68,0.92
9.68160e-01,0.72,0.64,0.76,0.6
9.68192e-01,0.72,0.8,0.68,0.84
9.68224e-01,0.72,0.56,0.76,0.6
9.68256e-01,0.72,0.8,0.76,0.84
9.68288e-01,0.72,0.24,0.68,0.28
9.68320e-01,0.72,0.88,0.76,1
9.68352e-01,0.72,0.56,0.68,0.6
9.68384e-01,0.72,0.8,0.68,0.84
9.68416e-01,0.72,0.24,0.76,0.28
9.68448e-01,0.64,0.88,0.68,1
9.68480e-01,0.72,0.56,0.68,0.6
9.68512e-01,0.72,0.8,0.76,0.84
9.68544e-01,0.72,0.56,0.68,0.6
9.68576e-01,0.72,0.8,0.76,0.84
9.68608e-01,0.72,0.24,0.76,0.28
9.68640e-01,0.64,0.96,0.76,1
9.68672e-01,0.72,0.56,0.76,0.6
9.68704e-01,0.72,0.8,0.68,0.84
9.68736e-01,0.72,0.56,0.76,0.6
9.68768e-01,0.72,0.8,0.68,0.84
9.68800e-01,0.72,0.32,0.68,0.36
9.68832e-01,0.72,0.96,0.76,0.92
9.68864e-01,0.72,0.56,0.76,0.6
9.68896e-01,0.72,0.8,0.76,0.84
9.68928e-01,0.72,0.56,0.68,0.6
9.68960e-01,0.72,0.8,0.76,0.84
9.68992e-01,0.72,0.32,0.76,0.28
9.69024e-01,0.72,0.88,0.76,0.92
9.69056e-01,0.72,0.56,0.68,0.6
9.69088e-01,0.72,0.8,0.76,0.84
9.69120e-01,0.72,0.24,0.76,0.28
9.69152e-01,0.64,0.96,0.76,1
9.69184e-01,0.72,0.56,0.76,0.6
9.69216e-01,0.64,0.8,0.76,0.84
9.69248e-01,0.72,0.56,0.76,0.6
9.69280e-01,0.72,0.88,0.76,0.84
9.69312e-01,0.72,0.24,0.76,0.28
9.69344e-01,0.72,0.96,0.76,1
9.69376e-01,0.64,0.56,0.76,0.6
9.69408e-01,0.72,0.8,0.68,0.84
9.69440e-01,0.72,0.56,0.76,0.6
9.69472e-01,0.72,0.8,0.76,0.84
9.69504e-01,0.72,0.24,0.68,0.28
9.69536e-01,0.72,0.88,0.68,0.92
9.69568e-01,0.72,0.56,0.68,0.6
9.69600e-01,0.72,0.8,0.76,0.84
9.69632e-01,0.72,0.56,0.76,0.6
9.69664e-01,0.72,0.8,0.68,0.84
9.69696e-01,0.64,0.32,0.68,0.28
9.69728e-01,0.72,0.88,0.76,0.92
9.69760e-01,0.72,0.56,0.76,0.6
9.69792e-01,0.56,0.88,0.52,0.84
9.69824e-01,0.72,0.32,0.76,0.28
9.69856e-01,0.64,0.88,0.76,0.92
9.69888e-01,0.72,0.48,0.76,0.52
9.69920e-01,0.72,0.8,0.76,0.84
9.69952e-01,0.72,0.56,0.76,0.68
9.69984e-01,0.72,0.8,0.76,0.84
9.70016e-01,0.64,0.24,0.76,0.28
9.70048e-01,0.72,0.96,0.76,1
9.70080e-01,0.72,0.56,0.68,0.6
9.70112e-01,0.72,0.8,0.76,0.84
9.70144e-01,0.72,0.56,0.76,0.6
9.70176e-01,0.72,0.8,0.76,0.84
9.70208e-01,0.64,0.24,0.68,0.28
9.70240e-01,0.64,0.88,0.68,1
9.70272e-01,0.72,0.56,0.68,0.6
9.70304e-01,0.72,0.88,0.68,0.84
9.70336e-01,0.72,0.56,0.68,0.6
9.70368e-01,0.72,0.8,0.68,0.84
9.70400e-01,0.72,0.24,0.76,0.28
9.70432e-01,0.72,0.96,0.76,0.92
9.70464e-01,0.64,0.56,0.76,0.6
9.70496e-01,0.64,0.8,0.76,0.84
9.70528e-01,0.72,0.56,0.68,0.6
9.70560e-01,0.72,0.8,0.76,0.84
9.70592e-01,0.72,0.32,0.68,0.36
9.70624e-01,0.72,0.88,0.76,0.92
9.70656e-01,0.64,0.56,0.68,0.6
9.70688e-01,0.72,0.8,0.76,0.84
9.70720e-01,0.64,0.24,0.76,0.28
9.70752e-01,0.64,0.88,0.76,1
9.70784e-01,0.72,0.56,0.76,0.6
9.70816e-01,0.72,0.8,0.76,0.84
9.70848e-01,0.72,0.56,0.68,0.6
9.70880e-01,0.64,0.8,0.76,0.84
9.70912e-01,0.64,0.24,0.76,0.28
9.70944e-01,0.72,0.96,0.68,1
9.70976e-01,0.72,0.56,0.68,0.6
9.71008e-01,0.72,0.8,0.68,0.84
9.71040e-01,0.72,0.56,0.76,0.6
9.71072e-01,0.72,0.88,0.68,0.84
9.71104e-01,0.72,0.24,0.68,0.28
9.71136e-01,0.64,0.96,0.76,1
9.71168e-01,0.72,0.56,0.68,0.6
9.71200e-01,0.64,0.8,0.76,0.84
9.71232e-01,0.72,0.56,0.68,0.6
9.71264e-01,0.72,0.8,0.68,0.84
9.71296e-01,0.72,0.24,0.68,0.28
9.71328e-01,0.72,0.88,0.76,1
9.71360e-01,0.72,0.56,0.76,0.6
9.71392e-01,0.64,0.8,0.68,0.84
9.71424e-01,0.64,0.24,0.68,0.36
9.71456e-01,0.72,0.88,0.76,0.92
9.71488e-01,0.64,0.56,0.76,0.6
9.71520e-01,0.64,0.8,0.76,0.84
9.71552e-01,0.72,0.56,0.76,0.6
9.71584e-01,0.72,0.8,0.68,0.84
9.71616e-01,0.72,0.24,0.68,0.36
9.71648e-01,0.64,0.88,0.68,0.92
9.71680e-01,0.64,0.56,0.68,0.6
9.71712e-01,0.72,0.8,0.76,0.84
9.71744e-01,0.64,0.56,0.68,0.6
9.71776e-01,0.64,0.8,0.68,0.84
9.71808e-01,0.64,0.24,0.68,0.28
9.71840e-01,0.72,0.88,0.68,1
9.71872e-01,0.72,0.56,0.68,0.6
9.71904e-01,0.72,0.8,0.68,0.84
9.71936e-01,0.64,0.56,0.76,0.6
9.71968e-01,0.64,0.8,0.76,0.84
9.72000e-01,0.64,0.24,0.76,0.28
9.72032e-01,0.72,0.96,0.76,1
9.72064e-01,0.72,0.56,0.68,0.6
9.72096e-01,0.72,0.8,0.68,0.84
9.72128e-01,0.72,0.24,0.68,0.28
9.72160e-01,0.72,0.96,0.68,1
9.72192e-01,0.64,0.56,0.68,0.6
9.72224e-01,0.64,0.8,0.76,0.84
9.72256e-01,0.64,0.56,0.68,0.6
9.72288e-01,0.64,0.8,0.76,0.84
9.72320e-01,0.72,0.24,0.68,0.28
9.72352e-01,0.72,0.88,0.76,0.92
9.72384e-01,0.72,0.56,0.76,0.6
9.72416e-01,0.64,0.8,0.76,0.84
9.72448e-01,0.72,0.56,0.68,0.6
9.72480e-01,0.64,0.8,0.76,0.84
9.72512e-01,0.64,0.24,0.76,0.36
9.72544e-01,0.64,0.88,0.76,1
9.72576e-01,0.72,0.56,0.76,0.6
9.72608e-01,0.64,0.8,0.68,0.84
9.72640e-01,0.72,0.56,0.76,0.6
9.72672e-01,0.64,0.8,0.76,0.84
9.72704e-01,0.64,0.24,0.76,0.28
9.72736e-01,0.64,0.88,0.68,1
9.72768e-01,0.72,0.56,0.76,0.6
9.72800e-01,0.8,0.8,0.76,0.84
9.72832e-01,0.72,0.24,0.68,0.28
9.72864e-01,0.64,0.96,0.76,0.92
9.72896e-01,0.72,0.56,0.68,0.6
9.72928e-01,0.64,0.8,0.68,0.92
9.72960e-01,0.64,0.56,0.76,0.6
9.72992e-01,0.72,0.8,0.76,0.84
9.73024e-01,0.64,0.24,0.68,0.28
9.73056e-01,0.72,0.88,0.76,0.92
9.73088e-01,0.72,0.56,0.76,0.6
9.73120e-01,0.72,0.8,0.68,0.84
9.73152e-01,0.64,0.56,0.68,0.6
9.73184e-01,0.64,0.8,0.68,0.84
9.73216e-01,0.64,0.24,0.76,0.36
9.73248e-01,0.72,0.88,0.68,0.92
9.73280e-01,0.64,0.56,0.76,0.6
9.73312e-01,0.72,0.8,0.76,0.84
9.73344e-01,0.64,0.56,0.68,0.6
9.73376e-01,0.64,0.8,0.68,0.84
9.73408e-01,0.72,0.24,0.76,0.28
9.73440e-01,0.64,0.88,0.76,0.92
9.73472e-01,0.64,0.56,0.76,0.6
9.73504e-01,0.72,0.8,0.68,0.84
9.73536e-01,0.64,0.56,0.76,0.6
9.73568e-01,0.64,0.72,0.76,0.84
9.73600e-01,0.64,0.24,0.68,0.28
9.73632e-01,0.64,0.88,0.76,1
9.73664e-01,0.72,0.56,0.76,0.6
9.73696e-01,0.72,0.8,0.68,0.84
9.73728e-01,0.72,0.24,0.76,0.28
9.73760e-01,0.64,0.88,0.76,1
9.73792e-01,0.72,0.56,0.68,0.6
9.73824e-01,0.72,0.72,0.76,0.84
9.73856e-01,0.72,0.56,0.76,0.6
9.73888e-01,0.72,0.8,0.68,0.84
9.73920e-01,0.64,0.24,0.76,0.28
9.73952e-01,0.64,0.88,0.76,0.92
9.73984e-01,0.64,0.56,0.76,0.6
9.74016e-01,0.64,0.8,0.76,0.84
9.74048e-01,0.64,0.56,0.76,0.6
9.74080e-01,0.72,0.8,0.76,0.84
9.74112e-01,0.64,0.24,0.76,0.36
9.74144e-01,0.64,0.88,0.76,0.92
9.74176e-01,0.72,0.56,0.76,0.6
9.74208e-01,0.64,0.8,0.68,0.84
9.74240e-01,0.72,0.56,0.76,0.6
9.74272e-01,0.64,0.8,0.76,0.84
9.74304e-01,0.64,0.24,0.76,0.28
9.74336e-01,0.64,0.88,0.76,1
9.74368e-01,0.72,0.56,0.68,0.6
9.74400e-01,0.64,0.8,0.68,0.84
9.74432e-01,0.72,0.24,0.76,0.28
9.74464e-01,0.64,0.96,0.68,1
9.74496e-01,0.64,0.56,0.76,0.6
9.74528e-01,0.64,0.72,0.76,0.84
9.74560e-01,0.64,0.56,0.76,0.6
9.74592e-01,0.72,0.72,0.68,0.84
9.74624e-01,0.64,0.24,0.68,0.36
9.74656e-01,0.64,0.88,0.68,1
9.74688e-01,0.72,0.56,0.76,0.6
9.74720e-01,0.64,0.8,0.68,0.84
9.74752e-01,0.64,0.56,0.76,0.6
9.74784e-01,0.64,0.72,0.76,0.84
9.74816e-01,0.64,0.24,0.76,0.28
9.74848e-01,0.64,0.88,0.68,1
9.74880e-01,0.64,0.56,0.76,0.6
9.74912e-01,0.64,0.88,0.76,0.84
9.74944e-01,0.72,0.56,0.76,0.6
9.74976e-01,0.72,0.8,0.76,0.84
9.75008e-01,0.64,0.32,0.68,0.28
9.75040e-01,0.64,0.88,0.68,1
9.75072e-01,0.64,0.56,0.76,0.6
9.75104e-01,0.64,0.8,0.76,0.84
9.75136e-01,0.72,0.24,0.76,0.28
9.75168e-01,0.64,0.88,0.76,1
9.75200e-01,0.72,0.56,0.76,0.6
9.75232e-01,0.72,0.8,0.76,0.84
9.75264e-01,0.64,0.56,0.76,0.6
9.75296e-01,0.64,0.8,0.76,0.84
9.75328e-01,0.72,0.24,0.76,0.28
9.75360e-01,0.72,0.88,0.76,1
9.75392e-01,0.64,0.56,0.76,0.6
9.75424e-01,0.64,0.8,0.68,0.84
9.75456e-01,0.72,0.56,0.76,0.6
9.75488e-01,0.64,0.8,0.76,0.84
9.75520e-01,0.64,0.24,0.68,0.28
9.75552e-01,0.64,0.88,0.76,1
9.75584e-01,0.64,0.56,0.76,0.6
9.75616e-01,0.72,0.72,0.76,0.84
9.75648e-01,0.64,0.56,0.76,0.6
9.75680e-01,0.72,0.8,0.76,0.84
9.75712e-01,0.64,0.32,0.68,0.28
9.75744e-01,0.64,0.88,0.76,0.92
9.75776e-01,0.72,0.56,0.76,0.6
9.75808e-01,0.72,0.72,0.76,0.84
9.75840e-01,0.64,0.24,0.76,0.36
9.75872e-01,0.64,0.8,0.76,0.92
9.75904e-01,0.72,0.56,0.76,0.6
9.75936e-01,0.64,0.8,0.68,0.84
9.75968e-01,0.64,0.56,0.68,0.68
9.76000e-01,0.64,0.8,0.76,0.84
9.76032e-01,0.72,0.24,0.76,0.28
9.76064e-01,0.72,0.88,0.76,0.92
9.76096e-01,0.64,0.56,0.76,0.6
9.76128e-01,0.72,0.72,0.68,0.84
9.76160e-01,0.72,0.56,0.68,0.6
9.76192e-01,0.72,0.8,0.76,0.84
9.76224e-01,0.64,0.24,0.76,0.28
9.76256e-01,0.64,0.88,0.76,1
9.76288e-01,0.64,0.56,0.76,0.6
9.76320e-01,0.64,0.72,0.76,0.84
9.76352e-01,0.64,0.56,0.76,0.6
9.76384e-01,0.72,0.72,0.76,0.84
9.76416e-01,0.64,0.16,0.76,0.36
9.76448e-01,0.64,0.88,0.68,1
9.76480e-01,0.72,0.56,0.76,0.6
9.76512e-01,0.48,0.8,0.6,0.84
9.76544e-01,0.64,0.24,0.68,0.36
9.76576e-01,0.64,0.88,0.76,0.92
9.76608e-01,0.64,0.48,0.76,0.52
9.76640e-01,0.72,0.8,0.76,0.92
9.76672e-01,0.72,0.56,0.76,0.6
9.76704e-01,0.72,0.8,0.68,0.84
9.76736e-01,0.64,0.24,0.68,0.28
9.76768e-01,0.64,0.88,0.76,1
9.76800e-01,0.64,0.56,0.76,0.6
9.76832e-01,0.72,0.72,0.76,0.84
9.76864e-01,0.64,0.56,0.68,0.68
9.76896e-01,0.64,0.72,0.76,0.84
9.76928e-01,0.72,0.16,0.76,0.28
9.76960e-01,0.64,0.88,0.76,1
9.76992e-01,0.64,0.56,0.68,0.6
9.77024e-01,0.64,0.8,0.76,0.84
9.77056e-01,0.72,0.56,0.76,0.68
9.77088e-01,0.64,0.72,0.76,0.84
9.77120e-01,0.64,0.24,0.76,0.28
9.77152e-01,0.72,0.88,0.76,1
9.77184e-01,0.72,0.56,0.76,0.6
9.77216e-01,0.72,0.8,0.76,0.84
9.77248e-01,0.64,0.56,0.68,0.6
9.77280e-01,0.64,0.8,0.68,0.84
9.77312e-01,0.64,0.24,0.76,0.28
9.77344e-01,0.64,0.88,0.76,1
9.77376e-01,0.64,0.56,0.76,0.6
9.77408e-01,0.64,0.72,0.76,0.84
9.77440e-01,0.64,0.24,0.68,0.36
9.77472e-01,0.72,0.88,0.76,1
9.77504e-01,0.72,0.56,0.76,0.6
9.77536e-01,0.64,0.72,0.76,0.84
9.77568e-01,0.64,0.56,0.68,0.6
9.77600e-01,0.64,0.72,0.76,0.84
9.77632e-01,0.64,0.24,0.76,0.36
9.77664e-01,0.64,0.8,0.76,1
9.77696e-01,0.72,0.48,0.76,0.6
9.77728e-01,0.64,0.8,0.76,0.84
9.77760e-01,0.64,0.56,0.68,0.68
9.77792e-01,0.64,0.72,0.76,0.84
9.77824e-01,0.64,0.24,0.76,0.36
9.77856e-01,0.64,0.8,0.68,0.92
9.77888e-01,0.64,0.56,0.68,0.6
9.77920e-01,0.64,0.72,0.68,0.84
9.77952e-01,0.64,0.56,0.68,0.68
9.77984e-01,0.64,0.8,0.68,0.84
9.78016e-01,0.64,0.24,0.76,0.28
9.78048e-01,0.64,0.88,0.76,1
9.78080e-01,0.64,0.56,0.76,0.68
9.78112e-01,0.64,0.72,0.68,0.84
9.78144e-01,0.56,0.24,0.76,0.36
9.78176e-01,0.64,0.88,0.68,1
9.78208e-01,0.64,0.56,0.68,0.6
9.78240e-01,0.64,0.8,0.76,0.84
9.78272e-01,0.64,0.56,0.76,0.6
9.78304e-01,0.64,0.8,0.76,0.84
9.78336e-01,0.64,0.24,0.76,0.36
9.78368e-01,0.64,0.8,0.76,1
9.78400e-01,0.64,0.56,0.76,0.6
9.78432e-01,0.72,0.72,0.76,0.84
9.78464e-01,0.64,0.56,0.68,0.68
9.78496e-01,0.64,0.8,0.68,0.84
9.78528e-01,0.64,0.24,0.76,0.36
9.78560e-01,0.64,0.88,0.68,0.92
9.78592e-01,0.64,0.56,0.76,0.68
9.78624e-01,0.64,0.72,0.76,0.84
9.78656e-01,0.64,0.56,0.76,0.6
9.78688e-01,0.64,0.72,0.76,0.84
9.78720e-01,0.64,0.16,0.68,0.28
9.78752e-01,0.64,0.88,0.76,1
9.78784e-01,0.64,0.56,0.68,0.68
9.78816e-01,0.64,0.72,0.76,0.84
9.78848e-01,0.64,0.16,0.68,0.28
9.78880e-01,0.64,0.88,0.76,1
9.78912e-01,0.64,0.56,0.76,0.6
9.78944e-01,0.64,0.72,0.76,0.84
9.78976e-01,0.64,0.56,0.76,0.6
9.79008e-01,0.64,0.8,0.76,0.84
9.79040e-01,0.64,0.16,0.76,0.28
9.79072e-01,0.64,0.88,0.76,1
9.79104e-01,0.64,0.56,0.76,0.6
9.79136e-01,0.64,0.72,0.76,0.84
9.79168e-01,0.64,0.56,0.76,0.68
9.79200e-01,0.64,0.72,0.76,0.84
9.79232e-01,0.64,0.24,0.76,0.28
9.79264e-01,0.64,0.88,0.76,1
9.79296e-01,0.64,0.56,0.76,0.6
9.79328e-01,0.64,0.72,0.76,0.84
9.79360e-01,0.64,0.56,0.76,0.6
9.79392e-01,0.64,0.72,0.76,0.84
9.79424e-01,0.64,0.24,0.76,0.36
9.79456e-01,0.64,0.8,0.76,0.92
9.79488e-01,0.64,0.48,0.76,0.6
9.79520e-01,0.64,0.72,0.76,0.84
9.79552e-01,0.64,0.24,0.76,0.36
9.79584e-01,0.64,0.8,0.76,0.92
9.79616e-01,0.64,0.56,0.76,0.6
9.79648e-01,0.64,0.72,0.76,0.84
9.79680e-01,0.64,0.56,0.76,0.68
9.79712e-01,0.64,0.72,0.76,0.84
9.79744e-01,0.64,0.16,0.76,0.28
9.79776e-01,0.64,0.88,0.68,1
9.79808e-01,0.64,0.56,0.76,0.6
9.79840e-01,0.64,0.72,0.68,0.84
9.79872e-01,0.64,0.56,0.76,0.6
9.79904e-01,0.64,0.72,0.68,0.84
9.79936e-01,0.64,0.16,0.76,0.28
9.79968e-01,0.64,0.88,0.76,1
9.80000e-01,0.64,0.56,0.76,0.6
9.80032e-01,0.64,0.8,0.76,0.84
9.80064e-01,0.64,0.56,0.76,0.68
9.80096e-01,0.64,0.72,0.76,0.84
9.80128e-01,0.64,0.24,0.76,0.36
9.80160e-01,0.64,0.88,0.76,0.92
9.80192e-01,0.64,0.56,0.76,0.68
9.80224e-01,0.64,0.72,0.68,0.84
9.80256e-01,0.64,0.24,0.76,0.36
9.80288e-01,0.64,0.88,0.76,0.92
9.80320e-01,0.64,0.56,0.76,0.6
9.80352e-01,0.64,0.72,0.76,0.84
9.80384e-01,0.64,0.56,0.76,0.68
9.80416e-01,0.64,0.72,0.76,0.84
9.80448e-01,0.64,0.16,0.76,0.28
9.80480e-01,0.64,0.8,0.68,1
9.80512e-01,0.64,0.48,0.76,0.68
9.80544e-01,0.64,0.8,0.76,0.84
9.80576e-01,0.48,0.56,0.52,0.68
9.80608e-01,0.64,0.72,0.76,0.84
9.80640e-01,0.64,0.16,0.76,0.28
9.80672e-01,0.64,0.88,0.68,1
9.80704e-01,0.64,0.56,0.68,0.68
9.80736e-01,0.64,0.72,0.68,0.84
9.80768e-01,0.64,0.48,0.76,0.6
9.80800e-01,0.64,0.8,0.68,0.84
9.80832e-01,0.64,0.16,0.76,0.36
